"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-10","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","99.8","","","","1"
"2016-11","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","99.9","","","","1"
"2016-12","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","100.0","","","","1"
"2017-01","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","99.9","","","","1"
"2017-02","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","100.2","","","","1"
"2017-03","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","100.4","","","","1"
"2017-04","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","101.2","","","","1"
"2017-05","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","101.7","","","","1"
"2017-06","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","102.1","","","","1"
"2017-07","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","102.7","","","","1"
"2017-08","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","102.8","","","","1"
"2017-09","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","102.9","","","","1"
"2017-10","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","103.1","","","","1"
"2017-11","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","103.2","","","","1"
"2017-12","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","103.2","","","","1"
"2018-01","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","103.2","","","","1"
"2018-02","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","102.9","","","","1"
"2018-03","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","102.9","","","","1"
"2018-04","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","102.7","","","","1"
"2018-05","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","102.7","","","","1"
"2018-06","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","103.0","","","","1"
"2018-07","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","103.1","","","","1"
"2018-08","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","103.0","","","","1"
"2018-09","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","102.9","","","","1"
"2018-10","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","102.9","","","","1"
"2018-11","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","102.9","","","","1"
"2018-12","Canada","2016A000011124","House only","Index, 201612=100","347","units ","0","v111955443","1.2","102.9","","","","1"
"2016-01","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","98.1","","","","1"
"2016-02","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","98.1","","","","1"
"2016-03","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","98.1","","","","1"
"2016-04","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","98.1","","","","1"
"2016-05","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","98.5","","","","1"
"2016-06","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","98.6","","","","1"
"2016-07","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","98.7","","","","1"
"2016-08","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","98.7","","","","1"
"2016-09","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","99.0","","","","1"
"2016-10","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","99.5","","","","1"
"2016-11","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","100.0","","","","1"
"2016-12","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","100.0","","","","1"
"2017-01","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","100.4","","","","1"
"2017-02","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","100.9","","","","1"
"2017-03","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","101.3","","","","1"
"2017-04","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","102.3","","","","1"
"2017-05","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.1","","","","1"
"2017-06","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.1","","","","1"
"2017-07","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.3","","","","1"
"2017-08","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.3","","","","1"
"2017-09","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.6","","","","1"
"2017-10","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.6","","","","1"
"2017-11","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.6","","","","1"
"2017-12","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.7","","","","1"
"2018-01","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.7","","","","1"
"2018-02","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.8","","","","1"
"2018-03","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.7","","","","1"
"2018-04","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.7","","","","1"
"2018-05","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.8","","","","1"
"2018-06","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.9","","","","1"
"2018-07","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.9","","","","1"
"2018-08","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","103.9","","","","1"
"2018-09","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","104.0","","","","1"
"2018-10","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","104.0","","","","1"
"2018-11","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","104.1","","","","1"
"2018-12","Canada","2016A000011124","Land only","Index, 201612=100","347","units ","0","v111955444","1.3","104.1","","","","1"


