"REF_DATE","GEO","DGUID","Commodity","Destinations","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-03","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","375278","","","","0"
"2016-04","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","369018","","","","0"
"2016-05","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","300174","","","","0"
"2016-06","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","133158","","","","0"
"2016-07","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","348935","","","","0"
"2016-08","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","219190","","","","0"
"2016-09","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","208737","","","","0"
"2016-10","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","401034","","","","0"
"2016-11","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","410856","","","","0"
"2016-12","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","466154","","","","0"
"2017-01","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","406317","","","","0"
"2017-02","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","435021","","","","0"
"2017-03","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","326654","","","","0"
"2017-04","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","457895","","","","0"
"2017-05","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","410201","","","","0"
"2017-06","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","487370","","","","0"
"2017-07","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","264697","","","","0"
"2017-08","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","474689","","","","0"
"2017-09","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","218681","","","","0"
"2017-10","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","380950","","","","0"
"2017-11","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","338963","","","","0"
"2017-12","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","292489","","","","0"
"2018-01","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","471564","","","","0"
"2018-02","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","316607","","","","0"
"2018-03","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","433488","","","","0"
"2018-04","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","372266","","","","0"
"2018-05","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","424822","","","","0"
"2018-06","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","160986","","","","0"
"2018-07","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","436973","","","","0"
"2018-08","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","293601","","","","0"
"2018-09","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","306817","","","","0"
"2018-10","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","294174","","","","0"
"2018-11","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","223102","","","","0"
"2018-12","Canada","2016A000011124","Durum wheat","Total exports, all destinations","Tonnes","288","units ","0","v124842","1.2.1","443837","","","","0"
"2016-01","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","135535","","","","0"
"2016-02","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","92096","","","","0"
"2016-03","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","157007","","","","0"
"2016-04","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","106285","","","","0"
"2016-05","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","77629","","","","0"
"2016-06","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","154242","","","","0"
"2016-07","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","84611","","","","0"
"2016-08","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","190842","","","","0"
"2016-09","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","207525","","","","0"
"2016-10","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","171121","","","","0"
"2016-11","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","157291","","","","0"
"2016-12","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","140213","","","","0"
"2017-01","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","153304","","","","0"
"2017-02","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","116239","","","","0"
"2017-03","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","149358","","","","0"
"2017-04","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","94233","","","","0"
"2017-05","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","64724","","","","0"
"2017-06","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","83657","","","","0"
"2017-07","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","96108","","","","0"
"2017-08","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","102535","","","","0"
"2017-09","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","205171","","","","0"
"2017-10","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","190212","","","","0"
"2017-11","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","144854","","","","0"
"2017-12","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","128722","","","","0"
"2018-01","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","156739","","","","0"
"2018-02","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","93374","","","","0"
"2018-03","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","133730","","","","0"
"2018-04","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","134215","","","","0"
"2018-05","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","141223","","","","0"
"2018-06","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","104366","","","","0"
"2018-07","Canada","2016A000011124","Oats","Total exports, all destinations","Tonnes","288","units ","0","v124922","1.3.1","80033","","","","0"
