"REF_DATE","GEO","DGUID","Commodity","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-04","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","15480","","","","0"
"2016-05","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","18431","","","","0"
"2016-06","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","19496","","","","0"
"2016-07","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","20360","","","","0"
"2016-08","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","18802","","","","0"
"2016-09","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","15295","","","","0"
"2016-10","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","13058","","","","0"
"2016-11","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","14627","","","","0"
"2016-12","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","13239","","","","0"
"2017-01","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","11571","","","","0"
"2017-02","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","13811","","","","0"
"2017-03","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","19875","","","","0"
"2017-04","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","24897","","","","0"
"2017-05","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","28441","","","","0"
"2017-06","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","28224","","","","0"
"2017-07","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","29580","","","","0"
"2017-08","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","28507","","","","0"
"2017-09","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","28183","","","","0"
"2017-10","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","24724","","","","0"
"2017-11","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","24642","","","","0"
"2017-12","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","21785","","","","0"
"2018-01","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","21253","","","","0"
"2018-02","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","28472","","","","0"
"2018-03","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","30245","","","","0"
"2018-04","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","35122","","","","0"
"2018-05","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","38922","","","","0"
"2018-06","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","43597","","","","0"
"2018-07","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","44708","","","","0"
"2018-08","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","40117","","","","0"
"2018-09","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","33829","","","","0"
"2018-10","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","35388","","","","0"
"2018-11","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","37087","","","","0"
"2018-12","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","32807","","","","0"
"2019-01","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","32941","","","","0"
"2019-02","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","37329","","","","0"
"2019-03","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","39989","","","","0"
"2019-04","Canada","2016A000011124","Creamery butter","Beginning stocks","Tonnes","288","units ","0","v381843","1.1.2","42011","","","","0"
"2016-01","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","10375","","","","0"
"2016-02","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","8736","","","","0"
"2016-03","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","8496","","","","0"
"2016-04","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","8873","","","","0"
"2016-05","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","7581","","","","0"
"2016-06","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","6712","","","","0"
"2016-07","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","7213","","","","0"
"2016-08","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","5908","","","","0"
"2016-09","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","6060","","","","0"
"2016-10","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","7202","","","","0"
"2016-11","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","7827","","","","0"
"2016-12","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","8437","","","","0"
"2017-01","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","11309","","","","0"
"2017-02","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","9977","","","","0"
"2017-03","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","10060","","","","0"
"2017-04","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","10103","","","","0"
"2017-05","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","8953","","","","0"
"2017-06","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","7741","","","","0"
"2017-07","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","8480","","","","0"
"2017-08","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","7566","","","","0"
"2017-09","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","7725","","","","0"
"2017-10","Canada","2016A000011124","Creamery butter","Production","Tonnes","288","units ","0","v381844","1.1.3","8680","","","","0"
